序號,門,綱,目,科,屬,中名,性狀簡述,分布簡述
11,木蘭植物門,木蘭綱,唇形目,唇形科,小冠薰屬,小冠薰,"屬特徵:直立草本。輪生聚繖花序頂生或植株上部腋生；花萼二唇化，5齒，上方最寬，2側齒最小；花冠筒狀，二唇，上唇3裂，中裂片稍大；雄蕊4，稍2強；花藥2室；子房深4裂，花柱基生。小堅果近橢圓形，光亮。 種特徵:葉片披針狀至三角狀卵形，長3-7 cm，寬1-3 cm，基部楔形，鉅齒緣，兩面無毛；葉柄長1.5-3.5 cm。",南部海邊荒廢地。
12,木蘭植物門,木蘭綱,唇形目,唇形科,山薄荷屬,蜜蜂花,"葉片卵形，長1-4 cm，寬0.5-2 cm，基部楔形，先端銳尖，鋸齒緣，表面疏被毛，背面脈上被毛，背面具腺點。花冠白色或淡紅色。小堅果平亮無毛。",中高海拔路旁、林下、及坡地。
13,木蘭植物門,木蘭綱,唇形目,唇形科,楔冠草屬,台灣錐花,"屬特徵:木質化多年生草本，全株被星狀毛。腋生繖形狀聚繖花序；花萼鐘型，10脈，5齒，約略相等；花冠漏斗狀，二唇，上唇帽狀，下唇3裂，中裂片最大；雄蕊4，2強，花藥2室；子房深4裂，花柱基生。小堅果核果狀，具網紋。 種特徵:葉片橢圓形至寬卵形，長4-10 cm，寬1-5 cm，鋸齒緣。花冠白色。",南部低海拔地區。
14,木蘭植物門,木蘭綱,唇形目,唇形科,毛藥花屬,毛藥花,"屬特徵-     多年生直立草本。腋生疏生聚繖花序；花萼鐘形，10脈，5齒，其中1齒稍小；花冠漏斗狀，筒部內面被毛，二唇，上唇凹缺，下唇3裂，中裂片最大，寬卵形；雄蕊4，2強，花絲被毛，花藥2室，藥室上端具叢毛；子房深4裂，花柱基生。小堅果圓形，核果狀。 種特徵-     葉近無柄，狹橢圓形，長8-20 cm，寬2-3 cm，基部楔形，鉅齒緣，兩面疏被毛，脈上毛茸較密。花向下俯傾；花冠淡紫紅色。",中北部中低海拔山區密林中。
15,木蘭植物門,木蘭綱,唇形目,唇形科,水蘇屬,長葉水蘇,"多年生草本，具根莖。葉片長橢圓形至長橢圓披針形，長3-7 cm，寬5-15 mm，基部截形至淺心形，先端鈍形，鋸齒緣，兩面密被毛；葉柄長1-3 mm。花冠粉紅色或粉紅紫色。",生島低海拔山區之林下及濕地。
16,木蘭植物門,木蘭綱,唇形目,唇形科,水蘇屬,田野水蘇,"一年生草本。葉片卵形至寬卵形，長1.5-4 cm，寬1-3 cm，基部圓形至心形，先端圓形至鈍形，鋸齒緣，兩面疏被短毛；葉柄長5-15 mm。花冠紅色。",北部荒廢地雜草。
17,木蘭植物門,木蘭綱,唇形目,唇形科,白花草屬,白花草,"屬特:多年生草本至亞灌木；葉卵形，粗鋸齒緣。腋生輪生聚繖花序，苞片線形；花萼筒狀，10脈，10齒，約略相等，萼齒狹三角形；花冠筒狀，藥2室；子房深4裂，上方截形，花柱基生。小堅果三稜形，平滑。 種特徵:葉片長1-3 cm，寬0.5-2.5 cm ，基部鈍形至楔形，先端鈍形，兩面被白色伏生絹狀毛；葉柄長0.5-2 cm。花冠白色。",中低海拔灌叢、草地及海濱。
18,木蘭植物門,木蘭綱,唇形目,唇形科,益母草屬,益母草,"屬特徵:一年生或多年生直立草本。腋生輪生聚繖花序，花近無梗；花萼筒狀，5脈，5齒，約略相等，先端刺尖；花冠筒狀，二唇，上唇直立，背面被柔毛，下唇3裂，中裂片較大，先端倒心形。小堅果三稜形，平滑或被微毛。 種特徵:葉輪廓為卵形，長3-10 cm，寬2-8 cm，葉片先掌狀三全裂，裂片再分裂成條狀小裂片，兩面被短毛。花紫色或白色。",低海拔路旁及荒地。
19,木蘭植物門,木蘭綱,唇形目,唇形科,石薺薴屬,石薺薴,"葉片卵形至狹卵形，長15-35 mm，寬10-17 mm，無毛，被凹陷腺點；葉柄長3-16 mm。花萼5深裂，略二唇，上唇稍短，中裂片稍短，萼齒狹三角形；花冠粉紅色或白色；苞片與花約等長或稍短。",全省中低海拔山區坡地和水邊。
20,木蘭植物門,木蘭綱,唇形目,唇形科,石薺薴屬,乾汗草,"葉片線狀披針形至線狀長橢圓形，長12-32 mm，寬2-4 mm，兩面疏被短柔毛和棕色凹陷腺點；葉柄長3-5 mm。萼片約略等長，萼齒先端刺尖狀；花冠紫紅色至白色；苞片較花長。",北部低海拔草坡或林下。
21,木蘭植物門,木蘭綱,唇形目,唇形科,筋骨草屬,矮筋骨草,"植株具走莖，僅具基生葉；葉倒披針形至長橢圓狀倒披針形，長2-4 cm，寬0.5-1 cm，疏被長柔毛，波狀鉅齒緣；葉柄1.5-3 cm。花冠藍紫色，內面近基部具毛環。",北部沿海地區。
22,木蘭植物門,木蘭綱,唇形目,唇形科,筋骨草屬,匍伏筋骨草,"莖匍匐；基生葉較莖生葉大，倒披針形至匙形，長3-9 cm，寬1-2.5 cm，粗鋸齒緣至波狀緣兩面疏被毛。花冠淡藍色至淡紅紫色，內面近基部具毛環。",中部山區歸化。
23,木蘭植物門,木蘭綱,唇形目,唇形科,筋骨草屬,網果筋骨草,"莖直立或斜上，無基生葉；葉橢圓形或菱狀卵形，長3-6 cm，寬2-5 cm，粗鋸齒緣，兩面被短毛；葉柄長1-4 cm。花冠淡藍白色或粉紅色。",北部低海拔開闊沙質潮濕地。
24,木蘭植物門,木蘭綱,唇形目,唇形科,筋骨草屬,台灣筋骨草,"莖直立及斜上，具基生葉及莖生葉；葉倒卵形至倒披針形，長6-15 cm，寬1-4 cm，波狀緣，被短毛。花冠淡藍紫色至淡紅紫色。",全省中低海拔。
25,木蘭植物門,木蘭綱,唇形目,唇形科,筋骨草屬,日本筋骨草,"莖直立或斜上；幾無基生葉；葉橢圓形至橢圓狀狹卵形，長3-7 cm，寬1-2.5 cm，粗鋸齒狀牙齒緣，被長柔毛。花冠白色，內面近基部具毛環。",北部西岸沿海沙地。
26,木蘭植物門,木蘭綱,唇形目,唇形科,紫蘇屬,紫蘇,"屬特徵:一年生草本，常被長柔毛。輪生聚繖花序二朵花，形成頂生或腋生總狀花序，常偏一側；花萼鐘形，5齒，2唇，上唇3裂，中稍短，下唇2裂，較長；花冠筒狀，二唇，上唇卵形，凹缺，下唇，3裂，中裂片較大，微凹；雄蕊4，2強，花藥2室；子房深4裂，花柱基生。小堅果球形，具網紋。 種特徵:葉片卵形至寬卵形，長4-12 cm，寬3-8 cm，基部楔形至鈍形，先端漸尖至尾狀，鋸齒緣，兩面被短毛或疏柔毛，背面被腺點；葉柄長1-4 cm。花冠紫紅色或粉紅色至白色。",中低海拔栽培及逸出。
27,木蘭植物門,木蘭綱,唇形目,唇形科,羅勒屬,羅勒,"葉片橢圓形至卵形，長3-5 cm，寬1.5-2 cm，基部楔形至鈍形，先端銳尖，疏鋸齒緣，兩面無毛，被腺點；葉柄長1-1.5 cm。花萼下唇中裂，上側齒先端漸尖；花冠淡紫色或上純白下唇紫紅色；後對雄蕊基部附屬物橫棒狀，上被黃毛。",全島低海拔栽培及逸出。
28,木蘭植物門,木蘭綱,唇形目,唇形科,羅勒屬,美羅勒,"葉片橢圓形至卵形，長5-15 cm，寬2-4 cm，基部楔形，先端銳尖至漸尖，鋸齒緣，兩面疏被短毛及腺點；葉柄長1-4 cm。花萼下唇微凹缺，上側齒先端漸尖；花冠白色或白黃色；後對雄蕊基部附屬物橫棒狀，上被白毛。",全島低海拔栽培及逸出。
29,木蘭植物門,木蘭綱,唇形目,唇形科,羅勒屬,神羅勒,"葉片長橢圓狀橢圓形，長2-6 cm，寬1-3 cm，基部及先端圓形至鈍形，鋸齒緣，兩面被微毛及腺點；葉柄長0.5-1.5 cm。花萼下唇中裂，上側齒先端芒尖；後對雄蕊基部具叢毛。",全島低海拔栽培及逸出。
30,木蘭植物門,木蘭綱,唇形目,唇形科,花屬,頂頭花,"屬特徵:一年生直立草本。頂生密集覆瓦狀排列聚繖花序；苞片扇形，花萼壺形，被腺點，二唇，上唇較大，下唇4裂；花冠筒狀，稍二唇化，上唇短4裂；雄蕊4，2強，花藥2室；子房深4裂，花柱基生。小堅果卵形，乾時微皺，具網紋。 種特徵:葉片卵形，長1-2 cm，寬5-12 mm，鋸齒緣，基部楔形，表面被短毛，背面具腺點；葉柄長2-7 mm。花冠白色至紫紅色。",中高海拔林緣。
31,木蘭植物門,木蘭綱,唇形目,唇形科,薄荷屬,,"屬特徵:多年生草本；葉鋸齒緣。腋生聚繖花序密集，球形；花萼鐘型5齒，約略相等，先端針刺狀；花冠筒狀，不明顯二唇，上唇凹缺，下唇3裂，等大；雄蕊4，約等長，花藥2室；子房深4裂，花柱基生。小堅果卵球形，平滑。 種特徵:葉片橢圓形，狹卵形至卵形，長2-8 cm，寬0.2-2 cm，先端銳尖，基部楔形，兩面脈上密被毛，餘疏毛或近無毛；葉柄長0.2-2 cm。花冠淡紫色。",低海拔潮溼地。
32,木蘭植物門,木蘭綱,唇形目,唇形科,藿香屬,藿香,"屬特徵:多年生直立草本。頂生總狀輪生聚繖花序；花萼鐘形，被微毛及腺點，5齒，前2齒稍短；花冠筒狀，上唇凹缺，下唇3裂，中裂片最大且凹缺；雄蕊4，2強，花藥2室；子房深4裂，花柱基生。 種特徵:葉片卵形，長4-10 cm，寬2-6 cm，粗鋸齒緣，基部心形，表面無毛，背面脈上被毛；葉柄長1-3 cm。花冠淡紫藍色。小堅果橢圓形，3稜，上端微毛。",中低海拔，亦見於栽培。
33,木蘭植物門,木蘭綱,唇形目,唇形科,貓鬚草屬,貓鬚草,"屬特徵:多年生直立草本。基部木質化，頂生疏離假總狀輪生聚繖花序；花萼鐘形，二唇，上唇寬卵形，邊緣下延，下唇4齒，萼齒三角形，最底一對較窄；花冠筒狀，二唇，上唇三裂，中裂片凹缺，下唇內凹；雄蕊4，2強，花絲細長，伸出花冠外甚遠，花藥2室；子房4深裂，花柱基生。花堅果球形，具網紋。 種特徵:葉片菱形，長5-12 cm，寬2-5 cm，鋸齒緣，兩面被短毛；葉柄長0.5-2 cm。花冠白色至淡紫色。",平地栽培及逸出。
34,木蘭植物門,木蘭綱,唇形目,唇形科,野芝麻屬,塊莖小野芝麻,"多年生草本，莖基匍匐生根；葉片卵形，長1-3 cm，寬0.7-2 cm，先端漸尖或鈍形，基部截狀楔形，圓鋸齒緣，兩面被白色伏毛。花冠紫紅或淡紅色，上唇淺盔狀。",北部低海拔路旁或草地。
35,木蘭植物門,木蘭綱,唇形目,唇形科,野薄荷屬,野薄荷,"屬特徵:多年生草本。頂生聚繖圓錐花序；花萼鐘型，5齒，約略相等，密被毛；花冠筒狀，二唇，上唇凹缺，下唇3裂，中裂片較大；雄蕊4，2強，花藥2室；子房深4裂，花柱基生。小堅果扁卵形，平滑。 種特徵:葉片卵形或長橢形，長5-20 mm，寬5-10 mm，基部鈍形，先端銳尖至鈍形，全緣，兩面被微毛及腺；葉柄短於5 mm。花小苞片綠色或帶紅暈；花萼內面喉部具毛環；花冠紫紅色至白色。      多年生草本，莖方形，全株被短柔毛，葉揉之有薄荷味。花小而多數，淡紅白色，     簇生於莖頂，7~9月為盛花期。性喜",高海拔路旁、土坡及林下。
36,木蘭植物門,木蘭綱,唇形目,唇形科,野藿香屬,掌狀野霍香,"屬特徵:一年生草本；葉卵形至寬卵形，通常掌狀3裂，裂片菱狀卵形。頂生疏鬆總狀輪生聚繖花序，小苞片甚小；花萼鐘形，二唇，裂過半，3齒，下唇2齒；花冠筒狀，二唇，上唇2裂，大致直立，下唇3裂，中裂片較大，倒卵狀匙形；雄蕊4，2強；子房淺4裂，花柱頂生。小堅果卵形，具網紋。 種特徵:葉長5-7 cm，寬6-8 cm，兩面疏被毛。花冠白色。",中部中高海拔針葉林中。
37,木蘭植物門,木蘭綱,唇形目,唇形科,金劍草屬,金劍草,"屬特徵:多年生直立草本。穗狀花序頂生或植株上部腋生；花萼鐘形，被腺毛及腺點，5齒，相等；花冠筒狀，二唇，下唇3裂，中裂片凹缺；雄蕊4，2強，一對花藥2室，另一對1室；子房深4裂，花柱基生。小堅果近圓形，光亮。 種特徵:葉片寬三角狀卵形，長5-12 cm，寬2-7 cm，粗鉅齒緣，基部近心形至淺楔形，表面被短伏毛，背面被白色短絨毛，葉柄長1-4 cm。花冠淡紫色。       多年生蔓性草本，小枝方形，葉淡綠色具長柄，葉身披針形，輪生枝節上。花綠 白色，細小，腋生，6~8月開花。果9~10月成熟，由",全省中低海拔林緣或荒廢地。
38,木蘭植物門,木蘭綱,唇形目,唇形科,鈴木草屬,鈴木草,"屬特徵:草本。通常具匍匐莖；葉非常寬卵形，基部心形，粗鋸齒緣，腋生疏散總狀花序；花萼鐘形，5脈，5齒，約略相等，密被腺毛；花冠筒狀，二唇，上唇直立帽狀，下唇平伸，3裂，中裂片較大；雄蕊4，等長，花藥2室；子房深4裂，花柱基生。小堅果倒卵形，三稜，平滑。 種特徵:葉長10-25 mm，寬15-35 mm，先端鈍形至銳尖，兩面被白色長硬毛。花冠鮮紅色。",生島中低海拔山區林下。
39,木蘭植物門,木蘭綱,唇形目,唇形科,香科科屬,二齒香科科,"葉片橢圓形，長2.5-9 cm，寬1-2.5 cm，先端漸尖，基部楔形至鈍形，鋸齒緣，表面無毛或被毛，背面被腺點及腋上被毛；葉柄長2-10 mm。花萼下唇較長，2齒，上唇3裂，中裂片最大，寬卵形，先端淺倒心形。",全島中低海拔山區林下。
40,木蘭植物門,木蘭綱,唇形目,唇形科,香科科屬,台灣香科科,"葉片橢圓形，長2.5-4 cm，寬1.2-2 cm，先端銳尖，基部楔形，鋸齒緣或雙鋸齒緣，兩面疏被毛，背面具腺點；葉柄長5-13 mm。花萼下唇較長，2齒，上唇3裂，中裂片最大，寬卵形，先端銳尖。",中部中海拔山區。
41,木蘭植物門,木蘭綱,唇形目,唇形科,香科科屬,血見愁,"葉片卵形，長4-7 cm，寬2-4 cm，先端銳尖，基部楔形至圓形，鋸齒緣或雙鈍齒緣，兩面疏被毛；葉柄長1-3 cm。花萼下唇較長，2裂，上唇3裂，裂片約略相等，先端銳尖。",全島中低海拔山區林下潮濕處。
42,木蘭植物門,木蘭綱,唇形目,唇形科,香苦草屬,香苦草,"葉片卵形至寬卵形，長2-8 cm，寬2-6 cm，基部近心形，先端鈍形，兩面被短毛和腺點；葉柄長1-2 cm。腋生疏離聚繖花序，總花梗短於1 cm；花冠淺藍色。",低海拔地區。
43,木蘭植物門,木蘭綱,唇形目,唇形科,香苦草屬,穗花香苦草,"葉片橢圓形至狹卵形，長3-10 cm，寬1-4 cm，基部楔形，先端銳尖，兩面被短毛和腺點；葉柄長0.5-2 cm。頂生筒狀密集輪生聚繖花序，總花梗短於4 cm。",低海拔地區。
44,木蘭植物門,木蘭綱,唇形目,唇形科,香苦草屬,頭花香苦草,"葉片卵形至橢圓形，長5-10 cm，寬2-5 cm，基部楔形，先端銳尖，兩面被短毛，背面具腺點；葉柄長1-4 cm。頭狀花序頂生或腋生，總花梗長5-10 cm；花冠白色。",低海拔山區。
45,木蘭植物門,木蘭綱,唇形目,唇形科,香苦草屬,短柄香苦草,"葉無柄或近無柄；葉片狹卵形，長3-8 cm，寬1-2 cm，基部楔形，尖端銳尖，兩面被短毛至曲柔毛，背面具腺點。頭狀花序頂生或腋生，總花梗短於1 cm，花冠白色。",低海拔平野。
46,木蘭植物門,木蘭綱,唇形目,唇形科,香茶菜屬,大萼香茶菜,"葉片卵形，長5-15 cm，寬2-8 cm，先端長漸尖，基部楔形至楔狀漸狹，兩面被伏毛；葉柄長2-6 cm。圓錐花序頂生或植株上部腋生，總花梗長2-4 mm；花萼外被毛，前2齒較寬長；花冠紫色。",中部及東部山區。
47,木蘭植物門,木蘭綱,唇形目,唇形科,香茶菜屬,香茶菜,"葉片卵形至披針形，長1-11 cm，寬0.5-3.5 cm，先端銳尖至鈍形，基部漸狹，表面被短毛，有時近無毛，背部疏被短柔毛，有時近無毛，但密被腺點；葉柄長0.2-2.5 cm。圓錐花序頂生，疏散，總花梗長1-4 cm；花萼外疏被毛或近無毛，密被腺點，前2齒稍長；花冠白色帶紫藍色。",北東部低山林下或草叢。
48,木蘭植物門,木蘭綱,唇形目,唇形科,香茶菜屬,鋸葉香茶菜,"葉片卵形，卵狀披針形至披針形，長3.5-10 cm，寬1.5-4.5 cm。基部楔形，先端漸尖，兩面沿脈被柔毛；葉柄長0.5-1.5 cm。圓錐花序頂生，疏鬆，總花梗長5-15 mm；花萼外被白柔毛夾具腺點，萼齒約等長；花冠紫色。",北部低海拔山區林下及草地。
49,木蘭植物門,木蘭綱,唇形目,唇形科,香薷屬,球花香薷,"一年生草本，被白色長柔毛。葉片卵形，長0.5-2.5 cm，寬0.3-2 cm，基部寬楔形，細鋸齒緣，葉柄長2-12 mm。花冠白色。",中部中高海拔山區路旁。
50,木蘭植物門,木蘭綱,唇形目,唇形科,香薷屬,香薷,"一年生草本，被短毛。葉片卵形，長2-4 cm，寬1-2 cm，基部楔形，鋸齒緣，葉柄長0.5-2 cm。花冠淡紫色。",北部山區。
51,木蘭植物門,木蘭綱,唇形目,唇形科,黃芩屬,布烈氏黃芩,"葉片卵形，長15-20 mm，寬10-15 mm，基部鈍形至圓形，先端鈍形至銳尖，鋸齒緣，表面無毛，背面被毛及腺點；葉柄長2-8 mm。花冠紫藍色。",全島低海拔地區。
52,木蘭植物門,木蘭綱,唇形目,唇形科,黃芩屬,田代氏黃苓,"葉片卵形至三角狀卵形，長5-35 mm，寬5-25 mm，基部心形至鈍形，先端鈍形，鈍齒緣，兩面有毛；葉柄長2-8 mm。",東部低海拔地區。
53,木蘭植物門,木蘭綱,唇形目,唇形科,黃芩屬,印度黃苓,"葉片寬卵形，長15-40 mm，寬10-35 mm，基部鈍形至心形，先端鈍形，鈍齒緣，兩面密被毛；葉柄長1-2 cm。花冠紫色。",北部中低海拔山區。
54,木蘭植物門,木蘭綱,唇形目,唇形科,黃芩屬,向天盞,"葉片狹卵形至卵形，長1-3 cm，寬5-10 mm，基部截形至鈍形，先端銳尖至鈍形，植株下半部葉鋸齒緣，往上轉成全緣，兩面無毛，被腺點；無柄至葉柄長5 mm。花冠淡紅紫色。",全島低海拔水邊或濕草地。
55,木蘭植物門,木蘭綱,唇形目,唇形科,黃芩屬,南台灣黃芩,"葉片三角狀寬卵形，長寬各10-22 mm，基部截形，先端鈍形至圓形，淺鈍齒緣，兩面僅背面脈上有毛；葉柄長4-6 mm。花冠藍紫色。",恆春半島山區楠木林緣及陡坡。
56,木蘭植物門,木蘭綱,唇形目,唇形科,黃芩屬,台灣黃芩,"葉片卵形至菱狀卵形，長15-30 mm，寬1-2 cm，基部截形至鈍形，先端漸尖至鈍形，鈍齒緣，兩面僅背面脈上有毛；葉柄長5-15 mm。花冠白色，喉部具紫斑點。",南部低海拔山區林下。
57,木蘭植物門,木蘭綱,唇形目,唇形科,鼠尾草屬,阿里山紫花鼠尾草,"葉基生，一回至二回羽狀複葉，表面疏被短毛，背面無毛或脈上被毛；頂羽片卵形或三角狀卵形，邊緣不規則缺刻，基部楔形至鈍形。花冠白色，筒內具毛環；孕性雄蕊花絲近基部具附屬物。 多年生草本，葉由莖基部生出，一回羽狀，頂小葉最大。花莖直立由葉叢抽出，花小，多數，淡紫色，花期為6~8月。性喜透光佳且略陰涼之棲地，於路旁之草叢及凹洞偶可見之。",全島中高海拔山區。
58,木蘭植物門,木蘭綱,唇形目,唇形科,鼠尾草屬,紅花鼠尾草,葉莖生，單葉，卵形，基部心形至截形，先端銳尖至鈍形，鋸齒緣，兩面微被毛。花冠紫紅色，筒內無毛環；孕性雄蕊花絲近基部具附屬物。,全島中海拔山區。
59,木蘭植物門,木蘭綱,唇形目,唇形科,鼠尾草屬,早田氏鼠尾草,葉基生，一回至二回羽狀複葉，兩面無毛或疏被微毛；頂羽片卵形，邊緣不規則缺刻，基部楔形至淺心形。花冠白色，筒內不具毛環；孕性雄蕊花絲上方具附屬物。,低海拔山區。
60,木蘭植物門,木蘭綱,唇形目,唇形科,鼠尾草屬,日本紫花鼠尾草,葉基生和莖生，一回或偶二回羽狀複葉，兩面脈上被短毛或疏柔毛；頂羽片卵形至寬卵形，基部截形至心形。花冠紫色，筒內不具毛環；孕性雄蕊花絲近基部具附屬物。,台北盆地周遭之低山。
61,木蘭植物門,木蘭綱,唇形目,唇形科,鼠尾草屬,隱藥鼠尾草,葉基生，稀莖生，一回羽狀複葉，兩面無毛或背面脈上被微毛；頂羽片卵形至寬卵形，基部心形。花冠淺紫色，筒內具毛環；孕性雄蕊甚短，內藏，花絲近基部具附屬物。,東部和南部海拔1000至1500公尺山區。
62,木蘭植物門,木蘭綱,唇形目,唇形科,鼠尾草屬,卵葉鼠尾草,葉基，單葉至偶一回羽狀複葉，寬卵形，基部心形，先端圓形，規則圓鈍齒緣，兩面無毛。花冠淺紫色。,北部低山。
63,木蘭植物門,木蘭綱,唇形目,紫草科,厚殼樹屬,長葉厚殼樹,"落葉性小喬木，樹高可達10 m；枝條無毛。葉橢圓形至倒卵長橢圓形，長5-12 cm，寬2-5 cm，基部漸狹，上下表面無毛，或稍粗糙。花瓣長9-11 mm，筒長6-9 mm。",全島低海拔森林中。
64,木蘭植物門,木蘭綱,唇形目,紫草科,厚殼樹屬,破皮烏,"落葉性小喬木，樹高可達15 m；枝條被柔毛。葉橢圓形，寬卵形至倒卵形，長6-15 cm，寬4-10 cm，基部楔形至淺心形，上表面被剛匐毛，下表面被剛毛。花瓣長4-10 mm。",全島中低海拔森林。
65,木蘭植物門,木蘭綱,唇形目,紫草科,厚殼樹屬,厚殼樹,"常綠喬木，樹高可達20 m；枝條被粗毛。葉披針形至橢圓形，長橢圓形，長5-15 cm，寬2-7 cm，基部圓形至不等邊淺心形，上表近無毛或稍粗糙，下表面葉脈上有毛。花瓣長3.5-5.5 mm。",全島中低海拔森林中。
66,木蘭植物門,木蘭綱,唇形目,紫草科,厚殼樹屬,蘭嶼厚殼樹,"常綠灌木至小喬木，高可達5 m；枝條無毛。葉卵形，長6-15 cm，寬6-10 cm,基部楔形至淺心型，上表面變無毛，下表面變無毛或僅葉脈上有毛。花瓣長3.5-5 mm，筒長略短於花瓣裂片長。",僅見於蘭嶼。
67,木蘭植物門,木蘭綱,唇形目,紫草科,厚殼樹屬,恆春厚殼樹,"落葉冠木至小喬木，高可達6 m；枝條無毛。葉寬卵形至寬倒卵形，長6-16 cm，寬4-10 cm，波狀緣，基部圓形，上面有毛，下面被絨毛。花冠長5-6 mm，裂片與花冠筒約等長。",南部低海拔疏林中或林緣。
68,木蘭植物門,木蘭綱,唇形目,紫草科,天芹菜屬,狗尾草,"一年生直立草本；全株被剛伏毛。葉互生至近對生，卵形，長2-10 cm，柄長2-8 cm。花瓣淺藍色至藍紫色。核果深二裂。",全島低海拔荒廢地雜草。
69,木蘭植物門,木蘭綱,唇形目,紫草科,滿福木屬,滿福木,"屬特徵:灌木至小喬木。小枝短，葉叢聚。花單朵或2-7朵之團集花序，腋生；花瓣5，無鱗片；花藥突出。核果，內果皮骨質，具喙，成熟時不裂成分核。 種特徵:葉倒卵形至匙形，長10-25 mm，上半部鈍鋸齒緣，葉毛基部有鈣化細胞。花白色。果黃色至紅色。",南部低海拔向陽樹叢。
70,木蘭植物門,木蘭綱,唇形目,紫草科,琉璃草屬,小花倒提壺,"二年生至多年生草本。葉披針形至長橢圓披針形，基部葉長5-11 cm，往上葉長漸減，葉基寬度漸減至枝條處，偶而半抱莖；上表面葉毛基部一般具1-4圈鈣化細胞。花瓣淺藍色。",全島中低海拔山坡地林緣及路旁荒地。
